ที่,รหัสสายทาง,อำเภอ,ชื่อสายทาง,ระยะทางรวม (กม.),ปีงบประมาณ 2561,,,ปีงบประมาณ 2562,,,ปีงบประมาณ 2563,,,,,,,,
,,,,,ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",ข้อบัญญ้ติประจำปี (กม.),เงินอุดหนุน (กม.),"เงินสะสม , บำรุงซ่อมแซม (กม.)",สามารถใช้การได้ (กม.),ต้องได้รับการซ่อมแซม (กม.),ค่าพิกัดจุดเริ่มต้นสายทาง,ด่วพิกัดจุดสิ้นสุดสายทาง,ลิงค์ google map,
65,อบจ.นม.09305,โนนไทย,บ.สำโรง - บ.หนองแวง,8.645,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.170 ,  -   ,  8.475 ," 15.145933,102.002868"," 15.183831,101.985875",คลิกที่นี้,
66,อบจ.นม.10301,โนนสูง,บ.โคกสะอาด - บ.ขามเฒ่า,6.200,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  6.200 ," 15.269136,102.250196","15.316124,102.243401",คลิกที่นี้,
67,อบจ.นม.10202,โนนสูง,บ.ด่านคนคบ - ปากทางเทศบาล,4.000,  -   ,  -   ,  0.515 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  3.485 ," 15.147694,102.194887"," 15.156269,102.225273",คลิกที่นี้,
68,อบจ.นม.10203,โนนสูง,บ.บิง - บ.เหมต่ำ,2.000,  -   ,  -   ,  0.558 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.442 ," 15.124375,102.304003"," 15.109577,102.313858",คลิกที่นี้,
69,อบจ.นม.10204,โนนสูง,บ.กลึง - บ.หนองสะแก,5.900,  -   ,  -   ,  0.525 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  5.375 ," 15.301779,102.205576"," 15.299608,102.155915",คลิกที่นี้,
70,อบจ.นม.10305,โนนสูง,บ.โค้งกระพี้ - บ.คล้า,10.256,  -   ,  -   ,  1.142 ,  -   ,  -   ,  -   ,  0.430 ,  -   ,  -   ,  -   ,  8.684 ," 15.146169,102.144042"," 15.195620,102.196464",คลิกที่นี้,
71,อบจ.นม.10206,โนนสูง,มิตรภาพ - บ.หนองโจด,7.470,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  7.470 ," 15.097198,102.280154"," 15.058832,102.309857",คลิกที่นี้,
72,อบจ.นม.10307,โนนสูง,บ.หนองกระโดน - บ.ด่านคนคบ,1.700,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.570 ,  -   ,  -   ,  -   ,  1.130 ," 15.147694,102.194887"," 15.132350,102.196086",คลิกที่นี้,
73,อบจ.นม.10308,โนนสูง,เทศบาลโนนสูง - บ.สระพรวน,0.700,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  0.700 ," 15.186257,102.278652"," 15.184836,102.285116",คลิกที่นี้,
74,อบจ.นม.10309,โนนสูง,บ.ดงพลอง - เทศบาลมะค่า,2.000,  -   ,  -   ,  0.550 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1.450 ," 15.228519,102.290157"," 15.235641,102.304339",คลิกที่นี้,
